ID,Toidukood,ToidunimiEST,ToidunimiENG,ToidunimiLAT,Sunonuumid,Toidugrupp,Allikas,EnergiashkiudainedkJ,Energiashkiudainedkcal,Susivesikudimenduvadg,Rasvadg,Valgudg,Alkoholg,Vesig,Tuhkg,Susivesikudkokkug,Kiudainedg,Tarklisg,Sahharoosg,Laktoosg,Maltoosg,Glukoosg,Fruktoosg,Galaktoosg,Rasvhappedkokkug,Kullastunudrasvhappedg,Monokullastumatarasvhappedg,Polukullastumatarasvhappedg,Transrasvhappedg,PalmitiinhapeC16g,SteariinhapeC18g,LinoolhapeC182g,LinoleenhapeC183g,Kolesteroolmg,Naatriummg,Kaaliummg,Kaltsiummg,Magneesiummg,Fosformg,Raudmg,Tsinkmg,Vaskmg,Mangaanmg,Joodug,Seleenug,Kroomug,Nikkelug,VitamiinARE,Retinoolug,BeetakaroteeniekvivalentBCE,VitamiinDug,VitamiinD3ug,VitamiinEaTE,VitamiinKug,VitamiinB1mg,VitamiinB2mg,NiatsiiniekvivalentkokkuNE,Niatsiinmg,Niatsiiniekvivtruptofaanistmg,Pantoteenhapemg,VitamiinB6mg,Biotiinug,Folaadidug,VitamiinB12ug,VitamiinCmg,Soolaekvivalentmg
420,1160,"Makaronid, kuivaine","Macaroni, dry ingredient",,Pasta / Spagetid,"Pastatooted, Pasta products, Макаронные изделия , ",Toidu koostise andmebaas,1420.900024,339.5950012,66.40000153,2.400000095,10.5,0,11,0.730000019,69.5,3.099999905,65.90000153,0.200000003,0,0,0.200000003,0.100000001,,,0.349999994,0.270000011,1.129999995,,0.330000013,0.01,1.049999952,0.079999998,0,1,270,21,33,140,3.299999952,1.200000048,0.25,0.579999983,90,16,4,30,0,0,0,0,,0.219999999,,0.400000006,0.039999999,2.5,1,,0.300000012,0.050000001,1,31,0,0,2.5
421,8518,"Munanuudlid, kuivaine","Egg noodles, dry ingredient",,Munamakaronid / Pasta,"Pastatooted, Pasta products, Макаронные изделия , ",Toidu koostise andmebaas,1576,376.6640015,68.19999695,4.199999809,14,0,9.699999809,1,71.09999847,2.900000095,,,,,,,,,0.899999976,1.200000048,1.200000048,,,,,,95,21,234,31,60,214,1.899999976,1.600000024,,,,1,,,18,18,0,0.300000012,,0.699999988,,0.170000002,0.090000004,4.400000095,2.099999905,,,0.100000001,,29,0.400000006,0,52.5
422,8517,Sojamakaronid,Soya macaroni,,,"Sojatooted (v.a.sojapiim ja soja baasil tehtud piima-ja lihatoodete asendajad), Soy products (except soy milk and soy-based milk and meat replacements), Продукты из сои (за исключением соевого молока и приготовленных на основе сои заменителей молочных и мясных продуктов) , ",Toidu koostise andmebaas,1566.099976,374.2980042,65,5,15.30000019,0,11.30000019,1.299999952,67,2,,,,,,,,,0.699999988,1.100000024,2.599999905,,,,,,0,2,520,51,65,215,2.700000048,1,,,,1,,,0,0,0,0,,0.5,,0.079999998,0.039999999,1,0.699999988,,,0.119999997,,19,0,0,5
423,1190,"Taisteramakaronid, keedetud","Wholemeal pasta, boiled",,Taisterapasta / Taisteraspagetid,"Pastatooted, Pasta products, Макаронные изделия , ",Toidu koostise andmebaas,410.7000122,98.15730286,17.79999924,0.899999976,3.599999905,0,71.5,0.230000004,19.5,1.700000048,17.60000038,0.100000001,0,0,0,0,,,0.129999995,0.100000001,0.419999987,,0.119999997,0,0.389999986,0.029999999,0,0.300000012,85,6.599999905,10,43,1,0.400000006,0.079000004,0.180000007,28,4,1,9,0,0,0,0,,0.600000024,,0.209999993,0.02,5.199999809,1.299999952,,0.200000003,0.079999998,0,7,0,0,0.75
424,1180,"Taisteramakaronid, kuivaine","Whole grain macaroni, dry ingredient",,Taisterapasta / Taisteraspagetid,"Pastatooted, Pasta products, Макаронные изделия , ",Toidu koostise andmebaas,1347.5,322.053009,59.40000153,2.700000048,11.39999962,0,10,0.730000019,64.90000153,5.5,58.90000153,0.300000012,0,0,0.100000001,0.100000001,,,0.400000006,0.300000012,1.269999981,,0.370000005,0.01,1.179999948,0.090000004,0,1,270,21,33,140,3.299999952,1.200000048,0.025,0.579999983,90,16,4,30,0,0,0,0,,0.600000024,,0.670000017,0.109999999,2.200000048,1,,0.800000012,0.039999999,1,40,0,0,2.5
425,8334,Makra,Crab stick,,Krabipulgad / Krabinuudlid,"Kalatooted - suitsu- ja soolakala, konserv, hakkmassist kalatooted, kalapulk, kuivatatud kala, kalamari, makra, Fish products - smoked and salted fish, canned fish, minced fish products, fish fingers, dried fish, caviar, surimi, Рыбные продукты: копченая и соленая рыба, консервы, рубленая масса, рыбные палочки, вяленая рыба, рыбная икра, крабовые палочки , ",Toidu koostise andmebaas,425.8699951,101.7829971,10.19999981,1.309999943,12,0,73.69999695,2.75,10.19999981,0,,,,,,,,,0.25999999,0.200000003,0.670000017,,0.119999997,0.029999999,0.01,0.01,20,841,90,13,43,282,0.389999986,0.330000013,0.032000002,0.01,,,,,20,,,,,0.100000001,,0.029999999,0.029999999,0.180000007,,,0.07,0.029999999,,1.600000024,1.600000024,0,2102.5
426,6850,"Broilerimaks, toores (tuup 'Tallegg')","Chicken liver, raw (type 'Tallegg')",,Kanamaks,"Linnu subproduktid ja subproduktidest tooted, Poultry offal and offal products, Субпродукты и изделия из них , ",Toidu koostise andmebaas,485.2999878,115.9869995,4,3.099999905,17.79999924,0,70.30000305,1.700000048,4,0,,,,,,,,2.599999905,1,0.800000012,0.800000012,0,0.600000024,0.400000006,0.300000012,0,492,69,360,6,21,390,8.300000191,4.5,0.50999999,0.300000012,2.400000095,46,1.899999976,2.599999905,9750,9700,570,0.200000003,,0.300000012,80,0.200000003,2.5,16,12,3.599999905,7.199999809,0.980000019,210,1200,32,20,172.5
427,6820,"Seamaks, toores","Pork liver, raw",,,"Subproduktid ja subproduktidest tooted, Offal and offal products, Субпродукты и изделия из них , ",Toidu koostise andmebaas,631.7000122,150.9759979,2.099999905,6,22,0,66,2.099999905,2.099999905,0,0,0,0,0,0,0,,,1.850000024,0.930000007,1.639999986,,0.790000021,1.039999962,0.649999976,0.02,278,150,370,6.400000095,24,430,31,9,1.600000024,0.389999986,2.5,58,1,1,18800,18800,0,0.200000003,,0.560000002,,0.300000012,3.200000048,19,14,,6.5,0.680000007,27,110,25,13,375
428,6800,"Vasikamaks, toores","Veal liver, raw",,,"Subproduktid ja subproduktidest tooted, Offal and offal products, Субпродукты и изделия из них , ",Toidu koostise andmebaas,484.2000122,115.723999,1.899999976,3.299999952,19.39999962,0,73,1.5,1.899999976,0,0,0,0,0,0,0,,,1.110000014,0.779999971,0.550000012,,0.469999999,0.569999993,0.209999993,0.01,300,91,320,6,21,340,6.099999905,4.599999905,5.900000095,0.319999993,2.5,30,1,1,15000,15000,,0.300000012,,0.709999979,,0.230000004,4.199999809,18,13,,8.399999619,0.899999976,39,240,60,18,227.5
429,6810,"Veisemaks, toores","Beef liver, raw",,,"Subproduktid ja subproduktidest tooted, Offal and offal products, Субпродукты и изделия из них , ",Toidu koostise andmebaas,582.4000244,139.1940002,2.200000048,6,19,0,67,1.700000048,2.200000048,0,0,0,0,0,0,0,,,2.00999999,1.279999971,1.159999967,,0.970000029,0.899999976,0.319999993,0.039999999,253,74,360,6.099999905,21,390,8.300000191,4.5,7.5,0.379999995,2.5,30,1,1,22500,22500,,0.699999988,,0.810000002,,0.300000012,3.200000048,18,14,,8.100000381,0.829999983,33,330,110,23,185
